,Dates,Users,In-Game
0,2020-01-01,168.62,52.04
1,2020-01-02,170.65,51.85
2,2020-01-03,173.24,54.49
3,2020-01-04,179.56,57.3
4,2020-01-05,178.37,55.53
5,2020-01-06,162.42,47.69
6,2020-01-07,155.38,44.9
7,2020-01-08,156.52,45.01
8,2020-01-09,153.44,43.8
9,2020-01-10,160.57,47.79
10,2020-01-11,178.01,55.77
11,2020-01-12,180.83,56.35
12,2020-01-13,151.51,42.41
13,2020-01-14,151.19,42.56
14,2020-01-15,150.91,42.45
15,2020-01-16,148.74,41.44
16,2020-01-17,154.67,45.0
17,2020-01-18,171.52,52.27
18,2020-01-19,176.82,53.96
19,2020-01-20,156.99,44.28
20,2020-01-21,148.11,42.0
21,2020-01-22,151.4,42.94
22,2020-01-23,150.1,42.58
23,2020-01-24,157.59,44.77
24,2020-01-25,173.58,53.33
25,2020-01-26,183.35,57.43
26,2020-01-27,158.56,46.59
27,2020-01-28,158.53,46.49
28,2020-01-29,160.82,47.83
29,2020-01-30,155.15,46.25
30,2020-01-31,165.14,49.97
31,2020-02-01,182.29,57.45
32,2020-02-02,188.02,59.57
33,2020-02-03,159.99,47.35
34,2020-02-04,161.2,47.16
35,2020-02-05,161.46,47.18
36,2020-02-06,160.73,47.64
37,2020-02-07,166.54,50.78
38,2020-02-08,184.76,58.69
39,2020-02-09,191.08,60.79
40,2020-02-10,163.8,48.64
41,2020-02-11,161.73,47.67
42,2020-02-12,163.12,47.95
43,2020-02-13,158.47,47.66
44,2020-02-14,162.74,49.54
45,2020-02-15,181.95,58.19
46,2020-02-16,187.85,60.06
47,2020-02-17,163.84,48.92
48,2020-02-18,161.22,47.51
49,2020-02-19,162.39,48.46
50,2020-02-20,162.42,47.88
51,2020-02-21,167.94,51.09
52,2020-02-22,183.47,57.71
53,2020-02-23,188.98,59.13
54,2020-02-24,168.02,49.75
55,2020-02-25,163.51,47.1
56,2020-02-26,164.49,47.45
57,2020-02-27,163.13,46.78
58,2020-02-28,169.58,51.07
59,2020-02-29,188.92,59.17
60,2020-03-01,192.39,59.76
61,2020-03-02,163.11,47.19
62,2020-03-03,162.99,46.76
63,2020-03-04,162.81,47.14
64,2020-03-05,161.06,46.71
65,2020-03-06,168.12,50.93
66,2020-03-07,187.4,58.96
67,2020-03-08,190.71,59.43
68,2020-03-09,167.02,48.75
69,2020-03-10,164.81,45.87
70,2020-03-11,167.42,47.5
71,2020-03-12,168.14,48.88
72,2020-03-13,178.05,53.62
73,2020-03-14,197.28,62.68
74,2020-03-15,203.13,63.96
75,2020-03-16,190.6,54.88
76,2020-03-17,197.49,56.28
77,2020-03-18,202.01,57.06
78,2020-03-19,206.76,58.32
79,2020-03-20,213.6,62.34
80,2020-03-21,223.79,70.24
81,2020-03-22,226.79,70.95
82,2020-03-23,222.18,61.61
83,2020-03-24,223.03,61.68
84,2020-03-25,223.27,61.47
85,2020-03-26,225.38,61.85
86,2020-03-27,223.91,63.63
87,2020-03-28,226.69,69.74
88,2020-03-29,234.35,72.49
89,2020-03-30,235.72,65.23
90,2020-03-31,236.35,65.65
91,2020-04-01,238.23,67.42
92,2020-04-02,238.36,66.84
93,2020-04-03,241.56,70.99
94,2020-04-04,245.36,81.72
95,2020-04-05,239.51,74.84
96,2020-04-06,235.01,66.4
97,2020-04-07,235.28,64.56
98,2020-04-08,232.87,64.36
